北京地区,23,1221
广东,40,678
山东,32,686
江苏,40,683
河南,16,681
上海地区,24,3245
河北,20,3698
浙江,24,3243
陕西,13,685
湖南,15,3699
重庆地区,9,676
福建,9,677
天津地区,8,684
云南,16,3244
四川,20,3705
广西,10,679
安徽,19,675
海南,11,680
江西,11,3700
湖北,12,682
山西,9,3246
辽宁,8,3701
黑龙江,4,3696
内蒙古,4,3702
贵州,7,4915
甘肃,5,3697
青海,2,3704
新疆,3,3706
中国，西藏,1,3707
吉林,3,3242
宁夏,2,3703
